
liina,Liina's privat oist,this is private,true
liina,Liina's second private psot,no one can see this,true
liina,public to show example,yes, this is public,false
Jonne,Jonne's blog,yes,true
liina,Liina is sgtupid,Opaa!!,true
Jonne,aaa,a,true

anonymous,Anonomous writes,hahaa, I can see your blogs without having an account,true
anonymous,asad,dsad,true
anonymous,I can see you,jaaa,false
Jonne,alert,<script>alert('XSS Success!')</script>,false
attacker,Hacked,test,admin,true,false
attacker,Hacked OPAA!!,test,admin,true,false
